Wall time,Step,Value
1701973265.5486171,12288,0.002999544143676758
1701973311.451651,24576,0.700467586517334
1701973352.2301245,36864,0.8861284852027893
1701973397.2231164,49152,0.9457046389579773
1701973426.1328719,61440,0.9547730088233948
1701973475.8913803,73728,0.9393810033798218
1701973519.7099116,86016,0.9436233639717102
1701973559.3300407,98304,0.9421958923339844
1701973591.3595817,110592,0.9351950883865356
1701973620.4632351,122880,0.9338721632957458
1701973653.5464432,135168,0.9263051152229309
1701973682.6049109,147456,0.9089133143424988
1701973708.3647273,159744,0.9181185960769653
1701973759.403167,172032,0.9236084818840027
1701973799.1580195,184320,0.9264732599258423
1701973830.2214575,196608,0.9322576522827148
1701973855.322298,208896,0.9356250762939453
1701973904.8641214,221184,0.9270245432853699
1701973950.784965,233472,0.9287211298942566
1701974006.1984122,245760,0.9224256277084351
